,model,size,count,obs_days,drive_hours,failures,failure_rate,percent_total,manufacturer
0,HDS724040ALE640,4.000787030016,42.0,3738.0,89661.0,0.0,0.0,0.0012806049333780529,HGST
1,HMS5C4040ALE640,4.000787030016,47.0,4183.0,100250.0,0.0,0.0,0.0014330579016373448,HGST
2,HMS5C4040BLE640,4.000787030016,495.0,1304.0,31615.0,1.0,27.708366281828248,0.015092843857669909,HGST
3,HDS5C3030ALA630,3.0005929820162054,4598.0,408715.0,9795942.0,6.0,0.5365487055762478,0.14019574961124492,Hitachi
4,HDS5C3030BLE630,3.000592982016,1.0,89.0,2131.0,0.0,0.0,3.0490593651858403e-05,Hitachi
5,HDS5C4040ALE630,4.000787030016,2586.0,230028.0,5515211.0,4.0,0.635333806811743,0.07884867518370582,Hitachi
6,HDS722020ALA330,2.0003989340159927,4728.0,419594.0,10054334.0,14.0,1.2197724881628162,0.14415952678598654,Hitachi
7,HDS723020BLA642,2.0003989340160024,10.0,803.0,19236.0,0.0,0.0,0.000304905936518584,Hitachi
8,HDS723030ALA640,3.0005929820159754,1027.0,91035.0,2182035.0,7.0,2.8102207343145276,0.03131383968045858,Hitachi
9,HDS723030BLE640,3.0005929820160007,10.0,890.0,21331.0,0.0,0.0,0.000304905936518584,Hitachi
10,HDT721010SLA360,1.000204886016,15.0,810.0,19438.0,0.0,0.0,0.00045735890477787604,Hitachi
11,HDT725025VLA380,0.25,1.0,45.0,1079.0,0.0,0.0,3.0490593651858403e-05,Hitachi
12,HD103UJ,1.000204886016,14.0,756.0,18138.0,0.0,0.0,0.00042686831112601764,Samsung
13,HD154UI,1.5003019100160024,4.0,350.0,8397.0,1.0,104.32297249017506,0.00012196237460743361,Samsung
14,ST1500DL001,1.5003019100160024,2.0,172.0,4126.0,0.0,0.0,6.0981187303716805e-05,Seagate
15,ST1500DL003,1.500301910016002,54.0,4121.0,98279.0,4.0,35.65359842896244,0.0016464920572003537,Seagate
16,ST1500DM003,1.5003019100160013,5.0,339.0,8140.0,0.0,0.0,0.000152452968259292,Seagate
17,ST2000DL001,2.000398934016003,2.0,178.0,4267.0,0.0,0.0,6.0981187303716805e-05,Seagate
18,ST2000DL003,2.0003989340160024,2.0,149.0,3573.0,0.0,0.0,6.0981187303716805e-05,Seagate
19,ST2000DM001,2.0003989340160016,7.0,361.0,8102.0,0.0,0.0,0.00021343415556300882,Seagate
20,ST2000VN000,2.000398934016003,4.0,356.0,8532.0,0.0,0.0,0.00012196237460743361,Seagate
21,ST250LM004 HN,0.2500593500160004,36.0,1628.0,39014.0,0.0,0.0,0.0010976613714669024,Seagate
22,ST250LT007,0.25005935001600016,5.0,189.0,4584.0,0.0,0.0,0.000152452968259292,Seagate
23,ST3000DM001,3.0005929820161983,4311.0,371124.0,8893055.0,235.0,23.148400633977865,0.13144494923316158,Seagate
24,ST31500341AS,1.5003019100159938,540.0,42059.0,1008602.0,22.0,19.107636114146114,0.016464920572003536,Seagate
25,ST31500541AS,1.5003019100159993,1927.0,163898.0,3928835.0,37.0,8.249773787904049,0.05875537396713114,Seagate
26,ST3160316AS,0.1600418856959998,64.0,2842.0,68100.0,0.0,0.0,0.0019513979937189378,Seagate
27,ST3160318AS,0.1600418856959998,53.0,2297.0,55064.0,1.0,15.908760714804592,0.0016160014635484953,Seagate
28,ST32000542AS,2.000398934015997,292.0,21519.0,507831.0,5.0,8.62491655688605,0.008903253346342654,Seagate
29,ST320005XXXX,2.0003989340160024,15.0,1164.0,27932.0,0.0,0.0,0.00045735890477787604,Seagate
30,ST320LT007,0.3200729333760001,94.0,4250.0,103139.0,0.0,0.0,0.0028661158032746896,Seagate
31,ST33000651AS,3.0005929820159816,292.0,25874.0,619964.0,4.0,5.6519410804498325,0.008903253346342654,Seagate
32,ST4000DM000,29.39346292721202,9093.0,628253.0,15018216.0,62.0,3.616408233840824,0.27725096807634847,Seagate
33,ST4000DX000,4.000787030016,179.0,15931.0,381912.0,0.0,0.0,0.005457816263682654,Seagate
34,ST9250315AS,0.2500593500160004,63.0,2873.0,70377.0,0.0,0.0,0.0019209074000670792,Seagate
35,ST9320325AS,0.3200729333760001,24.0,898.0,21898.0,0.0,0.0,0.0007317742476446017,Seagate
36,DT01ACA300,3.0005929820160016,58.0,5162.0,123707.0,0.0,0.0,0.0017684544318077873,Toshiba
37,WD1001FALS,1.0002048860159982,2.0,171.0,4024.0,0.0,0.0,6.0981187303716805e-05,Western Digital
38,WD10EACS,1.0002048860159967,109.0,8569.0,202526.0,2.0,8.650741139409261,0.0033234747080525657,Western Digital
39,WD10EADS,1.0002048860159922,535.0,44775.0,1049815.0,5.0,4.172163666931793,0.016312467603744246,Western Digital
40,WD10EADX,1.0002048860159982,27.0,2003.0,46752.0,0.0,0.0,0.0008232460286001768,Western Digital
41,WD10EALS,1.000204886015998,1.0,89.0,2059.0,0.0,0.0,3.0490593651858403e-05,Western Digital
42,WD10EARS,1.0002048860159984,5.0,376.0,8957.0,0.0,0.0,0.000152452968259292,Western Digital
43,WD10EARX,1.000204886015998,3.0,267.0,6370.0,0.0,0.0,9.147178095557521e-05,Western Digital
44,WD15EARS,1.5003019100160007,2.0,131.0,3126.0,0.0,0.0,6.0981187303716805e-05,Western Digital
45,WD1600AAJB,0.16004188569599995,9.0,403.0,9576.0,0.0,0.0,0.0002744153428667256,Western Digital
46,WD1600AAJS,0.16004188569599978,122.0,5403.0,128761.0,0.0,0.0,0.003719852425526725,Western Digital
47,WD1600BPVT,0.16004188569599995,3.0,117.0,2803.0,0.0,0.0,9.147178095557521e-05,Western Digital
48,WD2500AAJB,0.25005935001600027,2.0,90.0,2154.0,0.0,0.0,6.0981187303716805e-05,Western Digital
49,WD2500AAJS,0.25005935001600027,2.0,90.0,2156.0,0.0,0.0,6.0981187303716805e-05,Western Digital
50,WD2500BEVT,0.25005935001600027,1.0,45.0,1035.0,0.0,0.0,3.0490593651858403e-05,Western Digital
51,WD2500BPVT,0.2500593500160002,9.0,386.0,9243.0,0.0,0.0,0.0002744153428667256,Western Digital
52,WD2500JB,0.25005935001600027,1.0,38.0,909.0,1.0,963.6963696369637,3.0490593651858403e-05,Western Digital
53,WD30EFRX,3.000592982016026,593.0,39856.0,953408.0,15.0,13.782137343089213,0.018080922035552033,Western Digital
54,WD30EZRS,3.0005929820160016,15.0,663.0,15853.0,1.0,55.257679934397274,0.00045735890477787604,Western Digital
55,WD30EZRX,3.0005929820159962,399.0,24602.0,595083.0,8.0,11.776508487051387,0.012165746867091503,Western Digital
56,WD3200AAJB,0.3200729333760001,3.0,135.0,3233.0,0.0,0.0,9.147178095557521e-05,Western Digital
57,WD3200AAJS,0.3200729333760001,5.0,232.0,5554.0,0.0,0.0,0.000152452968259292,Western Digital
58,WD3200AAKS,0.3200729333760001,1.0,45.0,1068.0,0.0,0.0,3.0490593651858403e-05,Western Digital
59,WD3200BEKT,0.3200729333760001,1.0,45.0,1075.0,0.0,0.0,3.0490593651858403e-05,Western Digital
60,WD3200LPVX,0.3200729333760001,2.0,122.0,2921.0,0.0,0.0,6.0981187303716805e-05,Western Digital
61,WD40EFRX,4.000787030016,45.0,1125.0,26902.0,0.0,0.0,0.0013720767143336281,Western Digital
62,WD5000AAJS,0.5001078620160004,1.0,45.0,1077.0,0.0,0.0,3.0490593651858403e-05,Western Digital
63,WD5000BPKT,0.5001078620160003,24.0,1080.0,25855.0,0.0,0.0,0.0007317742476446017,Western Digital
64,WD5000LPVX,0.5001078620160001,38.0,629.0,15067.0,0.0,0.0,0.0011586425587706193,Western Digital
65,WD5002ABYS,0.5001078620160003,5.0,198.0,4741.0,0.0,0.0,0.000152452968259292,Western Digital
66,WD5003ABYX,0.5001078620160004,1.0,45.0,1080.0,0.0,0.0,3.0490593651858403e-05,Western Digital
67,WD800AAJB,0.080026361856,23.0,1030.0,24153.0,0.0,0.0,0.0007012836539927432,Western Digital
68,WD800AAJS,0.080026361856,30.0,1342.0,32110.0,0.0,0.0,0.0009147178095557521,Western Digital
69,WD800BB,0.08002636185600005,56.0,2480.0,59299.0,0.0,0.0,0.0017074732445040706,Western Digital
70,WD800JB,0.080026361856,19.0,833.0,19953.0,0.0,0.0,0.0005793212793853096,Western Digital
71,WD800JD,0.080026361856,1.0,45.0,1074.0,0.0,0.0,3.0490593651858403e-05,Western Digital
72,WD800LB,0.080026361856,2.0,90.0,2153.0,0.0,0.0,6.0981187303716805e-05,Western Digital
